Values, R:100000C:6e-05E:12
Time,Vc
0.1756, 0.346111
0.1758, 0.346499
0.176, 0.346887
0.1762, 0.347276
0.1764, 0.347664
0.1766, 0.348053
0.1768, 0.348441
0.177, 0.348829
0.1772, 0.349218
0.1774, 0.349606
0.1776, 0.349995
0.1778, 0.350383
0.178, 0.350771
0.1782, 0.351159
0.1784, 0.351548
0.1786, 0.351936
0.1788, 0.352324
0.179, 0.352713
0.1792, 0.353101
0.1794, 0.353489
0.1796, 0.353877
0.1798, 0.354265
0.18, 0.354654
0.1802, 0.355042
0.1804, 0.35543
0.1806, 0.355818
0.1808, 0.356206
0.181, 0.356594
0.1812, 0.356982
0.1814, 0.357371
0.1816, 0.357759
0.1818, 0.358147
0.182, 0.358535
0.1822, 0.358923
0.1824, 0.359311
0.1826, 0.359699
0.1828, 0.360087
0.183, 0.360475
0.1832, 0.360863
0.1834, 0.361251
0.1836, 0.361639
0.1838, 0.362027
0.184, 0.362415
0.1842, 0.362802
0.1844, 0.36319
0.1846, 0.363578
0.1848, 0.363966
0.185, 0.364354
0.1852, 0.364742
0.1854, 0.36513
0.1856, 0.365518
0.1858, 0.365905
0.186, 0.366293
0.1862, 0.366681
0.1864, 0.367069
0.1866, 0.367456
0.1868, 0.367844
0.187, 0.368232
0.1872, 0.36862
0.1874, 0.369007
0.1876, 0.369395
0.1878, 0.369783
0.188, 0.37017
0.1882, 0.370558
0.1884, 0.370946
0.1886, 0.371333
0.1888, 0.371721
0.189, 0.372109
0.1892, 0.372496
0.1894, 0.372884
0.1896, 0.373271
0.1898, 0.373659
0.19, 0.374046
0.1902, 0.374434
0.1904, 0.374821
0.1906, 0.375209
0.1908, 0.375596
0.191, 0.375984
0.1912, 0.376371
0.1914, 0.376759
0.1916, 0.377146
0.1918, 0.377534
0.192, 0.377921
0.1922, 0.378308
0.1924, 0.378696
0.1926, 0.379083
0.1928, 0.379471
0.193, 0.379858
0.1932, 0.380245
0.1934, 0.380633
0.1936, 0.38102
0.1938, 0.381407
0.194, 0.381794
